エリア名,開始x座標,開始y座標,終了x座標,終了y座標,色
職員1,100,1000,300,1225,red
職員2,300,1000,510,1200,red
職員3,510,1000,650,1190,red
職員4,650,1000,1075,1220,red
職員5,1075,1000,1500,1250,red
職員6,1500,1000,1800,1235,red
受付1,100,1225,300,1305,yellow
受付2,300,1200,510,1280,yellow
受付3,510,1190,650,1260,yellow
受付4,650,1220,800,1280,yellow
受付5,1075,1250,1500,1320,yellow
受付6,1500,1235,1800,1320,yellow
待合室1,100,1305,300,2160,blue
待合室2,300,1280,510,2160,blue
待合室3,510,1260,650,2160,blue
待合室4,650,1280,800,2160,blue
待合室5,800,1220,1075,2160,blue
待合室6,1075,1320,1500,2160,blue
待合室7,1500,1320,1800,2160,blue
待合室8,1800,1100,2160,2160,blue
